Node,mean,stdev
492,8.101,0.302
493,8.101,0.302
494,8.102,0.302
495,8.103,0.303
496,8.103,0.303
497,8.104,0.303
498,8.104,0.303
499,8.105,0.304
500,8.105,0.304
501,8.105,0.303
502,8.106,0.304
503,8.106,0.304
504,8.107,0.304
505,8.107,0.305
506,8.107,0.305
507,8.108,0.305
508,8.107,0.306
509,8.107,0.305
510,8.107,0.305
511,8.108,0.305
512,8.108,0.305
513,8.108,0.306
514,8.108,0.305
515,8.109,0.305
516,8.109,0.304
517,8.109,0.304
518,8.109,0.304
519,8.109,0.304
520,8.110,0.305
521,8.111,0.305
522,8.113,0.305
523,8.114,0.305
524,8.114,0.305
525,8.115,0.305
526,8.115,0.305
527,8.116,0.305
528,8.117,0.305
529,8.118,0.306
530,8.119,0.307
531,8.119,0.307
532,8.120,0.307
533,8.121,0.307
534,8.121,0.307
535,8.121,0.307
536,8.121,0.307
537,8.122,0.307
538,8.123,0.308
539,8.123,0.308
540,8.124,0.309
541,8.125,0.309
542,8.126,0.310
543,8.128,0.310
544,8.128,0.310
545,8.129,0.310
546,8.130,0.311
547,8.130,0.310
548,8.131,0.311
549,8.133,0.312
550,8.134,0.312
551,8.136,0.313
552,8.138,0.314
553,8.138,0.314
554,8.139,0.315
555,8.140,0.315
556,8.140,0.315
557,8.140,0.316
558,8.141,0.317
559,8.141,0.317
560,8.142,0.317
561,8.142,0.317
562,8.143,0.318
563,8.143,0.318
564,8.144,0.318
565,8.144,0.318
566,8.144,0.318
567,8.145,0.318
568,8.145,0.318
569,8.146,0.319
570,8.146,0.319
571,8.147,0.319
572,8.148,0.318
573,8.148,0.318
574,8.149,0.318
575,8.149,0.318
576,8.149,0.319
577,8.151,0.319
578,8.151,0.319
579,8.151,0.319
580,8.150,0.317
581,8.150,0.317
582,8.151,0.317
583,8.151,0.317
584,8.151,0.317
585,8.152,0.317
586,8.152,0.317
587,8.152,0.317
588,8.153,0.317
589,8.153,0.317
590,8.152,0.317
591,8.152,0.317
592,8.152,0.317
593,8.152,0.316
594,8.152,0.316
595,8.151,0.302
596,8.152,0.302
597,8.152,0.302
598,8.153,0.302
599,8.154,0.301
600,8.154,0.302
601,8.154,0.301
602,8.154,0.301
603,8.153,0.300
604,8.153,0.300
605,8.153,0.300
606,8.154,0.300
607,8.154,0.300
608,8.155,0.300
609,8.155,0.300
610,8.156,0.300
611,8.156,0.300
612,8.156,0.300
613,8.156,0.301
614,8.156,0.301
615,8.156,0.301
616,8.156,0.301
617,8.157,0.301
618,8.157,0.302
619,8.157,0.302
620,8.156,0.302
